Index,Year,State,County,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom
314,2024,CT,Fairfield County,7510,1333.0,1591.0,1967.0,2489.0,2932.0
315,2024,CT,Fairfield County,61954,1333.0,1591.0,1967.0,2489.0,2932.0
316,2024,CT,Fairfield County,62714,1781.0,2173.0,2628.0,3202.0,3500.0
317,2024,CT,Fairfield County,19492,1333.0,1591.0,1967.0,2489.0,2932.0
318,2024,CT,Fairfield County,20249,1781.0,2173.0,2628.0,3202.0,3500.0
319,2024,CT,Fairfield County,13924,1505.0,1825.0,2221.0,2838.0,2997.0
320,2024,CT,Fairfield County,27824,1505.0,1825.0,2221.0,2838.0,2997.0
321,2024,CT,Fairfield County,88755,1781.0,2173.0,2628.0,3202.0,3500.0
322,2024,CT,Fairfield County,9123,1505.0,1825.0,2221.0,2838.0,2997.0
323,2024,CT,Fairfield County,25012,1505.0,1825.0,2221.0,2838.0,2997.0
324,2024,CT,Fairfield County,41162,1333.0,1591.0,1967.0,2489.0,2932.0
325,2024,CT,Fairfield County,3634,1505.0,1825.0,2221.0,2838.0,2997.0
326,2024,CT,Fairfield County,130057,1781.0,2173.0,2628.0,3202.0,3500.0
327,2024,CT,Fairfield County,51982,1333.0,1591.0,1967.0,2489.0,2932.0
328,2024,CT,Fairfield County,35808,1333.0,1591.0,1967.0,2489.0,2932.0
329,2024,CT,Fairfield County,10278,1781.0,2173.0,2628.0,3202.0,3500.0
330,2024,CT,Fairfield County,28175,1781.0,2173.0,2628.0,3202.0,3500.0
331,2024,CT,Fairfield County,18405,1781.0,2173.0,2628.0,3202.0,3500.0
